ID,Title,IMDb,Netflix,Hulu,Prime Video,Disney+,Genres,Runtime
110,Baahubali 2: The Conclusion,8.2,1,0,0,0,Action,167
111,Black Mirror: Bandersnatch,7.2,1,0,0,0,Drama,90
112,PK,8.1,1,0,0,0,Comedy,153
113,Extraction,6.8,1,0,0,0,Action,116
114,The Lobster,7.2,1,0,0,0,Comedy,119
115,Blue Valentine,7.4,1,0,0,0,Drama,112
116,Zindagi Na Milegi Dobara,8.1,1,0,0,0,Comedy,155
117,Green Room,7,1,0,0,0,Horror,95
118,Kung Fu Panda 2,7.2,1,0,0,0,Animation,90
119,The Ballad of Buster Scruggs,7.3,1,0,0,0,Comedy,133
120,Cloverfield,7,1,0,0,0,Action,85
121,Burning,7.5,1,0,0,0,Drama,148
122,The Adventures of Tintin,7.3,1,0,0,0,Animation,107
123,Bolt,6.8,1,0,0,1,Animation,96
124,Neon Genesis Evangelion: The End of Evangelion,8.1,1,0,0,0,Animation,87
125,Chasing Amy,7.2,1,0,0,0,Comedy,113
126,The Princess and the Frog,7.1,1,0,0,1,Animation,97
127,Bad Genius,7.6,1,0,0,0,Comedy,130
128,The Wicker Man,7.5,1,0,0,0,Horror,88
129,A Single Man,7.6,1,0,0,0,Drama,99
130,Blow,7.6,1,0,0,0,Biography,124
131,The Squid and the Whale,7.3,1,0,1,0,Comedy,81
132,My Life as a Zucchini,7.8,1,0,0,0,Animation,66
133,"Jim & Andy: The Great Beyond- Featuring a Very Special, Contractually Obligated Mention of Tony Clifton",7.7,1,0,0,0,Documentary,94
134,Barfi!,8.1,1,0,0,0,Comedy,151
135,Frances Ha,7.5,1,0,0,0,Comedy,86
136,Tootsie,7.4,1,0,0,0,Comedy,116
137,Solo: A Star Wars Story,6.9,1,0,0,0,Action,135
138,Steve Jobs,7.2,1,0,0,0,Biography,122
139,Tremors,7.1,1,0,0,0,Comedy,96
140,The Croods,7.2,1,0,0,0,Animation,98
141,Locke,7.1,1,0,0,0,Drama,85
142,Bill Burr: I'm Sorry You Feel That Way,8.4,1,0,0,0,Comedy,80
143,Starred Up,7.4,1,0,1,0,Crime,106
144,Mudbound,7.4,1,0,0,0,Drama,134
145,Austin Powers: International Man of Mystery,7,1,0,0,0,Adventure,94
146,Blue Ruin,7.1,1,0,0,0,Crime,90
147,The Patriot,7.2,1,1,0,0,Action,165
148,Babel,7.4,1,0,0,0,Drama,143
149,The Square,8.1,1,1,1,0,Comedy,151
150,Gerald's Game,6.6,1,0,0,0,Drama,103
151,Miracle,7.5,1,0,0,1,Biography,135
152,Swades,8.2,1,0,0,0,Drama,210
153,Tinker Tailor Soldier Spy,7.1,1,0,0,0,Drama,122
154,The Witch,6.9,1,0,0,0,Drama,92
155,Haider,8.1,1,0,0,0,Action,160
156,Padman,7.9,1,0,0,0,Comedy,140
157,Hush,6.6,1,0,0,0,Horror,82
158,Elizabeth,7.4,1,0,0,0,Biography,124
159,Miss Americana,7.4,1,0,0,0,Documentary,85
160,Christopher Robin,7.3,1,0,0,0,Comedy,104
161,I Lost My Body,7.6,1,0,0,0,Animation,81
162,I Am Mother,6.7,1,0,0,0,Drama,113
163,Lupin the Third: The Castle of Cagliostro,7.7,1,0,0,0,Animation,100
164,The Autopsy of Jane Doe,6.8,1,0,0,0,Horror,86
165,Virunga,8.2,1,0,0,0,Documentary,100
166,Freedom Writers,7.5,1,0,1,0,Biography,123
167,The Master,7.2,1,0,0,0,Drama,138
168,A Serious Man,7,1,0,0,0,Comedy,106
169,The King,7.2,1,0,0,0,Biography,140
170,The Breadwinner,7.7,1,0,0,0,Animation,94
171,The Boy Who Harnessed the Wind,7.6,1,0,1,0,Drama,113
172,Article 15,8.3,1,0,0,0,Crime,130
173,The Killing of a Sacred Deer,7,1,0,0,0,Drama,121
174,Lawless,7.3,1,0,0,0,Crime,116
